open,high,low,close,date
1409.84,1414.09,1403.67,1409.84,"Dec 8, 2006"
1413.04,1415.60,1408.56,1413.04,"Dec 11, 2006"
1411.56,1413.78,1404.80,1411.56,"Dec 12, 2006"
1413.21,1416.64,1411.05,1413.21,"Dec 13, 2006"
1425.49,1427.23,1413.16,1425.49,"Dec 14, 2006"
1427.09,1431.63,1425.49,1427.09,"Dec 15, 2006"
1422.48,1431.81,1420.65,1422.48,"Dec 18, 2006"
1425.55,1428.30,1414.88,1425.55,"Dec 19, 2006"
1423.53,1429.05,1423.51,1423.53,"Dec 20, 2006"
1418.30,1426.40,1415.90,1418.30,"Dec 21, 2006"
1410.76,1418.82,1410.28,1410.76,"Dec 22, 2006"
1416.90,1417.91,1410.45,1416.90,"Dec 26, 2006"
1426.84,1427.72,1416.63,1426.84,"Dec 27, 2006"
1424.73,1427.26,1422.05,1424.73,"Dec 28, 2006"
1418.30,1427.00,1416.72,1418.30,"Dec 29, 2006"
1416.60,1429.42,1407.86,1416.60,"Jan 3, 2007"
1418.34,1421.84,1408.22,1418.34,"Jan 4, 2007"
1409.71,1418.34,1405.75,1409.71,"Jan 5, 2007"
1412.84,1414.98,1403.97,1412.84,"Jan 8, 2007"
1412.11,1415.61,1405.42,1412.11,"Jan 9, 2007"
1414.85,1415.99,1404.33,1414.85,"Jan 10, 2007"
1423.82,1427.12,1415.66,1423.82,"Jan 11, 2007"
1430.73,1431.23,1422.58,1430.73,"Jan 12, 2007"
1431.90,1433.93,1428.62,1431.90,"Jan 16, 2007"
1430.62,1435.27,1428.57,1430.62,"Jan 17, 2007"
1426.37,1433.30,1424.21,1426.37,"Jan 18, 2007"
1430.50,1431.57,1425.19,1430.50,"Jan 19, 2007"
1422.95,1431.39,1420.40,1422.95,"Jan 22, 2007"
1427.99,1431.33,1421.66,1427.99,"Jan 23, 2007"
1440.13,1440.14,1427.96,1440.13,"Jan 24, 2007"
1423.90,1440.69,1422.34,1423.90,"Jan 25, 2007"
1422.18,1427.27,1416.96,1422.18,"Jan 26, 2007"
1420.62,1426.94,1418.46,1420.62,"Jan 29, 2007"
1428.82,1428.82,1420.61,1428.82,"Jan 30, 2007"
1438.24,1441.61,1424.78,1438.24,"Jan 31, 2007"
1445.94,1446.64,1437.90,1445.94,"Feb 1, 2007"
1448.39,1449.33,1444.49,1448.39,"Feb 2, 2007"
1446.99,1449.38,1443.85,1446.99,"Feb 5, 2007"
1448.00,1450.19,1443.40,1448.00,"Feb 6, 2007"
1450.02,1452.99,1446.44,1450.02,"Feb 7, 2007"
1448.31,1450.45,1442.81,1448.31,"Feb 8, 2007"
1438.06,1452.45,1433.44,1438.06,"Feb 9, 2007"
1433.37,1439.11,1431.44,1433.37,"Feb 12, 2007"
1444.26,1444.41,1433.22,1444.26,"Feb 13, 2007"
1455.30,1457.65,1443.91,1455.30,"Feb 14, 2007"
1456.81,1457.97,1453.19,1456.81,"Feb 15, 2007"
1455.54,1456.77,1451.57,1455.54,"Feb 16, 2007"
1459.68,1460.53,1449.20,1459.68,"Feb 20, 2007"
1457.63,1459.60,1452.02,1457.63,"Feb 21, 2007"
