Sex,Age,Income,State
Male,052,0105060,New Hampshire
Male,038,0092000,Illinois
Male,031,0019000,Oklahoma
Female,043,0040000,Florida
Male,064,0257900,Ohio
Male,024,0003000,Pennsylvania
Male,015,0000000,Utah
Male,032,0103000,Georgia
Male,063,0012000,Pennsylvania
Female,050,0017800,Louisiana
Male,072,0076400,Utah
Female,027,0042000,Michigan
Female,016,0000000,Hawaii
Male,048,0084000,Pennsylvania
Male,063,0032220,Iowa
Female,056,0010000,New York
Male,075,0010000,Arizona
Female,067,0007300,New York
Male,014,9999999,New York
Female,087,0047000,Florida
Male,026,0001200,Pennsylvania
Male,033,0081000,Illinois
Male,039,0000000,California
Male,027,0102000,Michigan
Male,012,9999999,Texas
Male,048,0009400,Ohio
Male,053,0012000,Florida
Male,083,0000000,Pennsylvania
Female,063,0036000,Georgia
Female,007,9999999,North Carolina
Female,002,9999999,Maine
Male,065,0005600,Florida
Male,025,0084000,Florida
Male,042,0072000,Alabama
Female,051,0000000,Tennessee
Female,071,0026800,Virginia
Female,044,0078000,Pennsylvania
Male,009,9999999,Iowa
Male,008,9999999,Maryland
Male,049,0083000,Pennsylvania
Male,015,0001700,New York
Female,072,0033300,California
Female,056,0060000,Tennessee
Male,045,0107200,Connecticut
Male,050,0014000,Florida
Male,011,9999999,Tennessee
Female,036,0021900,Pennsylvania
Male,065,0043000,Connecticut
Male,055,0040000,Minnesota
Female,027,0075000,Arizona
Female,032,0008800,South Dakota
Female,045,0012000,Tennessee
Male,049,0068000,Maine
Male,084,0029000,Nebraska
Male,009,9999999,Texas
Female,033,0007400,California
Male,022,0020000,West Virginia
Female,086,0025000,New York
Male,039,0040000,Louisiana
Female,053,0011700,Wisconsin
Female,047,0003000,Delaware
Female,026,0009000,Ohio
Male,026,0020000,Texas
Female,008,9999999,Louisiana
